iterations, items_explored, HUIs_mined, Time_elapsed
1000,388,834,3917
2000,396,1358,4734
3000,400,1784,5500
4000,400,2213,6301
5000,402,2626,7084
6000,403,2986,7867
7000,403,3303,8751
8000,403,3653,9501
9000,403,3988,10251
10000,404,4309,10969
11000,404,4644,11819
12000,404,4940,12869
13000,404,5252,13604
14000,404,5545,14385
15000,404,5859,15186
16000,404,6142,15939
17000,404,6487,16652
18000,404,6762,17356
19000,404,7028,18186
20000,404,7286,18919
21000,404,7613,19754
22000,404,7886,20469
23000,404,8131,21363
24000,404,8360,22273
25000,404,8651,23171
26000,404,8957,23936
27000,404,9210,24755
28000,404,9469,25569
29000,404,9734,26254
30000,404,10022,27072
31000,404,10279,27904
32000,404,10525,28721
33000,404,10782,29538
34000,404,11029,30438
35000,404,11291,31212
36000,404,11546,32055
37000,404,11820,32880
38000,404,12078,33655
39000,404,12336,34607
40000,404,12555,35367
41000,404,12836,36159
42000,404,13074,36943
43000,404,13357,37739
44000,404,13609,38806
45000,404,13812,40176
46000,404,14067,41632
47000,404,14344,42891
48000,404,14578,44167
49000,404,14832,45391
50000,404,15081,46715
51000,404,15322,48161
52000,404,15529,49475
53000,404,15750,50672
54000,404,15986,51997
55000,404,16249,53727
56000,404,16509,55243
57000,404,16774,56417
58000,404,17003,57625
59000,404,17270,58686
60000,404,17520,59862
61000,404,17721,60905
62000,404,17927,62491
63000,404,18136,63761
64000,404,18394,64982
65000,404,18647,66194
66000,404,18912,67390
67000,404,19110,68562
68000,404,19302,69800
69000,404,19527,70979
70000,404,19757,72176
71000,404,19977,73427
72000,404,20178,74757
73000,404,20394,76035
74000,404,20600,77234
75000,404,20816,78492
76000,404,21046,79714
77000,404,21260,80920
78000,404,21486,82097
79000,404,21685,83318
