iterations, items_explored, HUIs_mined, Time_elapsed
100,178,63,5701779
200,298,104,5714349
300,386,132,5715931
400,479,151,5717485
500,551,167,5719116
600,627,185,5720682
700,691,195,5722250
800,760,206,5723716
900,825,215,5725433
1000,885,221,5726884
1100,944,226,5728484
1200,1007,231,5730051
1300,1053,236,5731602
1400,1106,240,5733251
1500,1160,244,5734936
1600,1217,249,5736454
1700,1255,253,5737903
1800,1296,258,5739671
1900,1342,262,5741187
2000,1390,265,5742837
2100,1448,268,5744354
2200,1500,273,5746056
2300,1542,274,5747554
