iterations, items_explored, HUIs_mined, Time_elapsed
1000,61,110,3200
2000,61,164,5690
3000,61,205,8083
4000,61,253,10671
5000,61,282,12934
6000,61,311,15169
7000,61,342,17319
8000,61,357,19737
9000,61,380,22353
10000,61,408,24803
11000,61,422,27187
12000,61,447,29804
13000,61,470,32504
14000,61,494,34772
15000,61,510,37305
16000,61,518,39507
17000,61,530,42073
18000,61,543,44524
19000,61,567,47024
20000,61,580,49426
21000,61,592,52142
22000,61,604,54609
23000,61,618,57126
24000,61,631,59693
25000,61,635,62044
