iterations, items_explored, HUIs_mined, Time_elapsed
100,163,67,151867
200,275,105,153832
300,374,140,155813
400,465,171,157968
500,558,189,160031
600,635,205,161747
700,708,226,163160
800,786,248,164424
900,849,271,165759
1000,917,293,167113
1100,971,313,168576
1200,1035,323,170014
1300,1105,347,171308
1400,1155,366,172911
1500,1204,376,174403
1600,1263,390,177489
1700,1317,401,178954
1800,1362,412,180313
1900,1412,422,181599
2000,1450,434,183063
2100,1493,446,184327
2200,1543,454,185750
2300,1578,463,187136
2400,1624,472,188456
2500,1661,481,189861
2600,1695,494,191287
2700,1740,497,192683
